CLID	SYMBOL	NAME	MICROARRAY_CLASSIFICATION	TRADITIONAL_CLASSIFICATION	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
IMAGE:1010082	None	ESTs_	None	None	-0.0024	0.00108	-0.00339	-0.01683	-0.00247	-0.00056	0.00599	0.00117	0.00191	-0.01775	0.00431	-0.00493	-0.01214	0.00749	-0.01589	-0.01052	-0.01204	-0.01247
IMAGE:1010100	None	None	None	None	-0.00637	-0.01086	-0.01278	0.00932	-0.00538	-0.00609	0.00291	0.00051	-0.01001	0.00552	-0.00015	0.0027	-0.01868	-0.01423	-0.01607	-0.01339	-0.00525	-0.00961
IMAGE:1010103	KLK3_	"kallikrein_3,_(prostate_specific_antigen)_"	None	None	0.0045	0.00741	0.00665	-0.02298	0.00963	0.01306	0.01188	0.02487	0.00147	-0.01375	0.00445	-0.02762	0.00332	0.02023	-0.0127	-0.00758	-0.01743	-0.01458
IMAGE:1010136	None	None	None	None	-0.01431	-0.00885	0.00151	0.01062	-0.00714	-0.00414	-0.01122	0.00085	-0.00113	-0.00046	0.01475	0.00164	0.00279	0.0009	-0.00785	0.00621	-0.00371	-0.01146
IMAGE:1011375	None	None	None	None	-0.00343	-0.01172	-0.00562	-0.00322	0.0029	0.01692	-0.00674	-0.00295	-0.0064	-0.01745	0.00342	-0.01016	-0.0007	0.02016	-0.00927	-0.01029	-0.02701	-0.015
IMAGE:1011496	None	"ESTs,_Weakly_similar_to_A56194_thromboxane_A-2_receptor,_endothelial_-_human_(fragment)_[H.sapiens]_"	None	None	0.02743	0.0136	-0.0133	-0.0079	-0.0508	0.02689	-0.0499	0.0043	0.03054	0.01714	-0.01275	-0.009	-0.01237	-0.02209	-0.00658	0.01185	0.00795	-0.01506
IMAGE:1011667	None	ESTs_	None	None	0.01106	0.00705	-0.01468	-0.01665	-0.01068	0.01079	0.00394	0.00958	-0.00327	-0.0068	0.00107	-0.01543	-0.00574	0.00429	-0.02486	-0.01208	-0.02932	-0.01908
IMAGE:1011697	RPL21_	**ribosomal_protein_L21_	None	None	0.00914	0.00293	0.00173	0.0016	0.02747	0.00808	-0.01026	-0.01277	0.02036	-0.01088	-0.00919	0.03006	-0.00686	-0.02008	0.00245	-0.02016	-0.0373	-0.0202
IMAGE:1017696	None	None	None	None	-0.00213	-0.00339	-0.0031	0.0033	-0.00192	-0.00492	-0.00219	0.00147	-0.00205	0.00135	0.00366	0.00175	-0.00146	-0.00205	0.00107	-0.00049	-0.00039	-0.0014
IMAGE:1020212	D15S226E_	Prader-Willi/Angelman_syndrome-5_	None	None	-0.00449	0.00238	-0.0048	-0.00827	-0.02253	0.00205	-0.01372	0.00551	0.01067	0.01145	0.00333	0.00397	-0.00389	-0.01624	0.00388	0.00731	-0.0004	-0.01087
IMAGE:1029205	None	ESTs_	None	None	0.00845	-0.00135	-0.00076	-0.00834	0.00047	0.0023	-0.00569	-0.00063	0.01109	0.00604	0.0018	0.00006	-0.01548	-0.01727	-0.00149	0.00235	-0.00594	-0.01237
IMAGE:1030498	MMP2_	"matrix_metalloproteinase_2_(gelatinase_A,_72kD_gelatinase,_72kD_type_IV_collagenase)_"	None	None	0.00086	-0.00248	-0.00743	-0.00409	-0.00448	0.0049	0.00347	0.00449	-0.01655	0.00365	0.00397	0.01133	-0.00734	-0.00124	-0.00129	0.00964	0.0013	-0.0081
IMAGE:1030935	POLR2A_	polymerase_(RNA)_II_(DNA_directed)_polypeptide_A_(220kD)_	None	None	-0.00736	0.00038	-0.00348	0.00781	-0.01106	-0.0106	-0.00262	0.01513	-0.00307	-0.00955	0.00433	-0.01639	-0.00814	-0.00751	-0.0043	-0.0038	0.01872	-0.00751
IMAGE:1031004	None	"EST,_Moderately_similar_to_1205235B_trypsinogen_II_[Homo_sapiens]_[H.sapiens]_"	None	None	0.00035	-0.00407	0.00632	-0.00419	-0.01597	-0.0018	-0.00184	0.00309	-0.01809	-0.00384	0.00858	0.00785	-0.00761	0.00625	0.00108	-0.002	0.0038	-0.00812
IMAGE:1031402	FLJ2None485_	hypothetical_protein_FLJ20485_	None	None	-0.00389	-0.014	0.00013	-0.00244	-0.00402	0.00196	0.00617	0.00305	-0.00334	-0.01596	-0.00148	-0.00426	0.01934	0.00362	0.00744	0.01557	0.01929	-0.00476
IMAGE:1031717	None	Homo_sapiens_mRNA;_cDNA_DKFZp686O0610_(from_clone_DKFZp686O0610)_	None	None	-0.00594	-0.0032	-0.00308	0.00005	-0.00661	-0.00516	0.02515	0.00726	0.00991	-0.00062	0.00882	0.00577	0.00641	0.00805	-0.00321	0.00215	0.01829	-0.00444
IMAGE:1031727	MRPL41_	mitochondrial_ribosomal_protein_L41_	None	None	-0.01818	-0.00736	-0.00683	-0.02238	0.02385	0.02291	0.01088	0.02214	-0.02486	0.00184	0.00429	0.00234	-0.01099	-0.00493	0.01489	-0.00085	-0.0135	-0.00869
IMAGE:1031744	YWHAZ_	"tyrosine_3-monooxygenase/tryptophan_5-monooxygenase_activation_protein,_zeta_polypeptide_"	None	None	0.00058	-0.00945	-0.01349	-0.0045	-0.00284	0.00027	-0.00309	0.00909	-0.00596	0.00421	0.01035	-0.00446	-0.00621	-0.01016	-0.00298	0.00372	0.01813	-0.00665
IMAGE:1031820	None	ESTs_	None	None	-0.0022	0.01004	-0.00594	0.00108	-0.00277	-0.00256	-0.00246	-0.01256	0.00359	-0.00491	-0.01372	0.00473	0.00761	-0.00844	-0.00295	-0.00408	-0.00338	-0.01046
IMAGE:1032170	PRKX_	"protein_kinase,_X-linked_"	None	None	0.00433	0.00394	-0.00189	0.00049	-0.00168	-0.00219	0.00152	0.00602	-0.00132	0.00099	0.00157	0.0041	-0.00106	0.00295	0.00519	-0.00118	0.00049	-0.00342
IMAGE:1032734	None	ESTs_	G1/S	None	-0.00363	-0.00002	0.00153	-0.00544	-0.0095	-0.01216	0.00087	-0.00158	-0.01572	0.00368	0.00372	-0.00093	-0.00656	-0.00813	0.007	-0.01134	-0.00177	-0.00744
IMAGE:1032796	LSM1_	Lsm1_protein_	None	None	-0.02035	-0.00166	0.01132	-0.00263	-0.00789	0.01219	0.00414	0.00264	0.01434	0.00065	0.00745	-0.00725	0.01687	0.00414	-0.00795	-0.00855	0.01091	-0.00744
IMAGE:1033229	DKFZP586G1517_	DKFZP586G1517_protein_	None	None	0.0083	0.0104	-0.00199	0.0112	0.01408	-0.0054	-0.01323	-0.03229	-0.00371	-0.00053	0.0064	-0.00402	-0.00178	0.00196	0.01106	0.00697	0.01705	-0.0098
IMAGE:1034491	None	None	None	None	0.00521	-0.00283	0.01893	0.00857	-0.02192	-0.00428	0.01919	-0.00329	-0.00041	0.00274	-0.00664	0.00479	-0.00349	0.01936	-0.00126	-0.01328	0.00031	-0.00814
IMAGE:1034558	None	None	None	None	0.00847	0.00439	-0.01121	0.01013	-0.00371	-0.00111	0.00037	-0.01119	-0.00151	-0.0092	0.01694	0.00864	0.00158	-0.00251	-0.00026	0.00988	0.02339	-0.00607
IMAGE:1034625	None	"Homo_sapiens_cDNA_FLJ31439_fis,_clone_NT2NE2000707_"	None	None	0.00286	-0.00641	-0.00861	0.00652	-0.00856	-0.01515	0.00439	-0.01373	0.00407	0.00598	-0.00251	-0.0065	-0.00061	-0.02149	0.01072	0.01026	-0.00179	-0.01202
IMAGE:1034640	MGC1NoneNone67_	hypothetical_protein_MGC10067_	None	None	-0.00929	-0.0036	0.00932	-0.0005	0.01222	0.00195	-0.00562	-0.002	-0.00513	-0.00392	-0.00585	-0.00896	0.00343	-0.00553	-0.00784	-0.01424	0.01178	-0.00684
IMAGE:1034724	MRPS36_	mitochondrial_ribosomal_protein_S36_	None	None	-0.0018	0.00748	-0.00783	0.00633	-0.00108	-0.00647	0.00277	-0.00529	-0.00681	-0.00266	-0.00355	0.0101	0.00532	0.00235	-0.00505	-0.01064	-0.00969	-0.01081
IMAGE:1035359	FLJ22593_	hypothetical_protein_FLJ22593_	None	None	0.00195	0.00304	0.00795	-0.0113	-0.0001	0.00382	0.01157	-0.00238	-0.00548	-0.00166	-0.00344	-0.00631	-0.00212	0.00703	0.00949	-0.00468	0.00472	-0.00578
IMAGE:1035657	FLJ13479_	hypothetical_protein_FLJ13479_	None	None	-0.00097	-0.00694	0.00546	-0.01185	-0.00626	0.00167	0.01611	0.00072	-0.01331	-0.00079	-0.01018	0.00271	0.00644	-0.00524	-0.00223	0.00082	0.00476	-0.00722
IMAGE:1035796	None	"ESTs,_Weakly_similar_to_protein_kinase,_putative_[Arabidopsis_thaliana]_[A.thaliana]_"	G2	None	0.00463	-0.00552	-0.00301	0.02897	0.01983	-0.04188	0.00883	0.00053	0.01895	0.02121	-0.01608	0.01422	-0.00731	0.0273	-0.03923	0.02865	-0.00055	-0.01659
IMAGE:1035911	WHSC2_	Wolf-Hirschhorn_syndrome_candidate_2_	None	None	0.001	-0.00914	0.0081	-0.00737	-0.00739	0.00199	0.0055	0.00496	-0.0062	-0.00196	-0.00394	-0.00267	0.00645	-0.00033	0.00068	0.00195	-0.00144	-0.00844
IMAGE:1044717	PRAC_	small_nuclear_protein_PRAC_	None	None	-0.00385	-0.0058	0.00101	0.00462	-0.00173	-0.00496	-0.00047	0.00207	-0.00023	0.00018	0.00483	0.0033	-0.00242	-0.00022	-0.00113	-0.00198	0.00213	-0.00065
IMAGE:1048609	API5_	apoptosis_inhibitor_5_	None	None	0.00393	-0.00669	0.00931	0.00351	-0.00295	-0.00091	0.00318	-0.00019	-0.00259	0.00212	0.00795	-0.00499	-0.00551	0.00172	0.00344	-0.00246	-0.00092	-0.00881
IMAGE:1048810	DKFZP564B167_	DKFZP564B167_protein_	None	None	-0.01468	0.00109	-0.01287	0.00332	0.00665	0.00186	-0.0031	0.00574	-0.00896	-0.00184	0.00399	0.00282	-0.00612	-0.00247	0.00336	0.00557	-0.00397	-0.00876
IMAGE:1049174	U2AF65_	U2_small_nuclear_ribonucleoprotein_auxiliary_factor_(65kD)_	None	None	0.00374	0.01236	0.02115	-0.01468	0.00765	-0.00613	0.00925	0.0085	-0.00286	-0.00675	0.00855	-0.02669	-0.01954	-0.00227	-0.0163	-0.01096	0.00247	-0.01092
IMAGE:1049287	PRSS21_	"protease,_serine,_21_(testisin)_"	None	None	0.00458	0.00386	0.01416	-0.00251	0.00205	-0.00244	-0.007	-0.00469	-0.00456	-0.00437	0.0003	0.00434	0.00106	0.00196	-0.00363	-0.00548	-0.01509	-0.01445
IMAGE:1055301	PABPC4_	"poly(A)_binding_protein,_cytoplasmic_4_(inducible_form)_"	None	None	0.00014	-0.00177	-0.01081	-0.00758	-0.00436	-0.00194	0.00126	-0.00924	0.00717	-0.00852	0.01064	-0.01237	-0.00468	-0.00284	-0.00045	0.0123	0.01575	-0.00701
IMAGE:1055582	None	ESTs_	None	None	-0.00243	-0.0068	0.00214	0.0006	-0.01322	-0.01263	-0.00319	-0.00939	0.00334	-0.0065	-0.00679	0.00105	0.00043	0.00694	-0.01038	-0.00503	0.00468	-0.00745
IMAGE:1055719	None	ESTs_	None	None	0.0002	0.00363	-0.01271	-0.00198	-0.01876	-0.00991	-0.00484	0.01353	0.00607	-0.00546	0.00163	-0.01293	-0.02426	-0.00294	0.00864	-0.00179	0.00872	-0.00799
IMAGE:1055764	DKFZP547E1None1None_	DKFZP547E1010_protein_	None	None	0.0058	-0.00275	0.00019	0.01101	0.01141	0.00911	-0.00272	-0.01029	-0.00533	-0.0152	-0.00696	0.00255	0.0019	0.00564	-0.00194	-0.01089	-0.00254	-0.01021
IMAGE:1055775	HNRPH1_	heterogeneous_nuclear_ribonucleoprotein_H1_(H)_	None	None	0.01456	0.01526	-0.02286	-0.00585	-0.01895	0.0043	-0.01571	-0.00463	-0.01786	-0.01135	0.01453	0.0018	-0.00551	-0.00384	0.00881	0.0185	0.03215	-0.00613
IMAGE:1070062	None	ESTs_	None	None	0.00275	-0.00549	0.00136	0.00435	0.00354	-0.0033	-0.00246	0.0031	-0.00285	-0.01799	0.00163	0.00413	0.01164	-0.00666	-0.01384	-0.01277	-0.02193	-0.01569
IMAGE:1075414	EIF4EBP1_	**eukaryotic_translation_initiation_factor_4E_binding_protein_1_	None	None	0.00502	0.01154	-0.01627	-0.00664	-0.00715	0.00428	0.01221	-0.00162	-0.00739	0.00441	0.0102	0.00064	-0.00843	-0.00581	-0.01492	-0.00332	-0.01797	-0.01527
IMAGE:1076028	SHAPY_	apyrase_	None	None	0.00427	0.00206	0.00548	0.00257	0.0036	-0.00581	-0.01049	-0.0293	-0.00396	0.02205	0.01024	-0.0007	-0.00169	-0.00079	-0.01111	-0.01015	0.01287	-0.0092
IMAGE:108265	LOC147184_	LOC147184_	G2	None	-0.02113	0.00164	-0.01049	0.00503	-0.00136	-0.0052	0.00231	0.01812	-0.0075	-0.00021	-0.01616	0.01473	0.00846	-0.00605	-0.00229	0.00537	-0.00989	-0.00884
IMAGE:108351	None	"Homo_sapiens,_clone_IMAGE:4346864,_mRNA,_partial_cds_"	None	None	-0.00583	-0.00013	-0.00077	0.00247	-0.00826	-0.01317	-0.00559	-0.01261	0.00715	-0.00286	-0.01302	-0.00988	0.0049	0.00455	-0.00496	-0.00894	0.00093	-0.00777
IMAGE:108377	TUBG1_	"tubulin,_gamma_1_"	None	None	0.00151	0.007	-0.01366	0.00534	0.00435	-0.00454	-0.00004	-0.00483	-0.00488	-0.00286	-0.01328	0.00935	-0.00588	-0.01503	-0.00324	-0.00136	-0.00609	-0.01174
IMAGE:1083850	EEF1G_	eukaryotic_translation_elongation_factor_1_gamma_	None	None	-0.00415	0.00399	-0.01098	-0.00542	0	0.00029	0.01189	0.00323	0.00445	-0.00865	0.00533	-0.00995	0.00478	0.00262	-0.00532	0.00515	-0.00624	-0.01025
IMAGE:108667	SF3A1_	"splicing_factor_3a,_subunit_1,_120kD_"	None	None	-0.00481	-0.00518	-0.00612	-0.0062	0.00888	-0.00181	0.00757	-0.0054	0.00626	-0.00177	0.0008	-0.00711	0.00361	0.00279	0.00621	0.00428	0.00946	-0.00673
IMAGE:1088345	S1NoneNoneA7_	S100_calcium_binding_protein_A7_(psoriasin_1)_	None	None	0.00713	-0.00219	-0.00745	0.00216	-0.00161	-0.00107	-0.01303	0.00047	-0.00433	-0.0162	0.00216	0.01174	0.0011	-0.00486	-0.0108	-0.00923	-0.00334	-0.01221
IMAGE:109153	COPA_	"coatomer_protein_complex,_subunit_alpha_"	None	None	0.01036	0.00292	-0.01023	0.00808	-0.00001	-0.00039	0.00746	-0.00584	-0.00284	-0.00238	0.00478	0.00951	0.00739	-0.00398	0.00534	0.01025	0.02356	-0.0038
IMAGE:109200	None	"Homo_sapiens_cDNA_FLJ40669_fis,_clone_THYMU2020883_"	None	None	0.01881	0.01439	0.00429	0.00716	0.01489	-0.01355	-0.00542	-0.00875	0.01223	0.00639	-0.00294	-0.01763	-0.00037	-0.01103	-0.02134	-0.01826	0.00728	-0.01259
IMAGE:109307	NFS1_	NFS1_nitrogen_fixation_1_(S._cerevisiae)_	None	None	0.01087	-0.00017	0.00316	-0.00362	0.00801	0.00197	0.00229	0.00562	-0.00192	-0.00628	-0.00391	0.00024	0.01424	0.00163	-0.00332	-0.00917	-0.00098	-0.00929
IMAGE:109333	None	"**Homo_sapiens_cDNA_FLJ37020_fis,_clone_BRACE2010684,_highly_similar_to_Rattus_norvegicus_mRNA_for_CRM1_protein_"	None	None	0.00162	-0.00246	-0.0103	0.00105	-0.00199	-0.00915	-0.00458	0.01272	-0.00506	0.00588	0.00199	0.00915	-0.00531	0.00087	0.0021	0.00415	0.0108	-0.00713
IMAGE:109888	None	"Homo_sapiens_cDNA_FLJ36637_fis,_clone_TRACH2018914,_highly_similar_to_ZINC_FINGER_PROTEIN_169_"	None	None	0.01181	0.00283	-0.00507	0.00511	-0.00644	0.00197	0.0018	-0.00076	0.00428	0.00063	0.00701	-0.00712	-0.00033	-0.00292	-0.00473	0.00672	-0.00561	-0.01239
IMAGE:110281	STX7_	syntaxin_7_	None	None	0.01441	0.00635	0.00634	0.00575	0.00695	-0.00815	-0.00521	-0.01759	-0.00724	-0.00281	0.00265	0.00351	-0.01078	-0.00101	0.01314	0.00581	-0.0003	-0.00983
IMAGE:110653	C1orf16_	chromosome_1_open_reading_frame_16_	None	None	-0.00295	0.00155	-0.00249	0.00056	-0.005	0.00251	-0.00754	0.00955	-0.00272	0.00419	0.00568	-0.00114	0.00487	0.00584	0.00825	0.00328	0.01329	-0.00673
IMAGE:110772	C14orf2_	chromosome_14_open_reading_frame_2_	None	None	0.00514	0.01014	-0.02221	-0.01634	0.00302	0.03141	-0.01004	0.00941	0.0172	-0.03046	-0.01098	0.00029	-0.00317	-0.00633	0.00603	-0.01466	-0.0205	-0.015
IMAGE:110788	LSP1_	lymphocyte-specific_protein_1_	None	None	-0.00098	-0.0005	0.00579	-0.00306	-0.01422	-0.00509	-0.00396	0.00972	0.0079	0.00352	-0.00388	-0.001	0.00024	-0.01047	-0.00486	0.0017	-0.00074	-0.0092
IMAGE:110872	MRG15_	MORF-related_gene_15_	None	None	-0.01256	-0.00546	-0.01456	-0.00993	-0.00466	0.00842	-0.00152	0.01233	0.00216	0.00639	0.01	0.00259	0.00628	-0.00093	-0.00615	0.00552	-0.0068	-0.00984
IMAGE:110912	C6orf25_	chromosome_6_open_reading_frame_25_	None	None	-0.00019	-0.00551	-0.00854	-0.00456	-0.00794	-0.00534	-0.00238	-0.00709	0.01621	0.00944	0.00269	-0.0026	-0.02003	-0.00821	0.00244	-0.00025	-0.0108	-0.00992
IMAGE:111120	KIAANoneNone63_	KIAA0063_gene_product_	None	None	-0.01199	-0.0029	-0.00141	-0.00235	0.0072	0.01797	0.01254	0.00894	0.00217	-0.00414	0.00228	0.00448	-0.0036	0.00721	-0.0152	-0.00459	0.01152	-0.00612
IMAGE:111721	LOC51141_	insulin_induced_protein_2_	None	None	0.00271	-0.00379	-0.00043	0.00246	-0.00231	0.00175	0.00696	-0.00756	0.00002	-0.00732	0.00621	0.00394	0.00014	0.0055	0.00115	-0.00172	0.00363	-0.00836
IMAGE:112530	None	ESTs_	None	None	-0.00067	-0.00633	0.00481	0.00377	-0.00262	-0.00154	0.0024	0.01054	0.00256	-0.01086	-0.01906	0.00124	0.00641	0.01193	0.00941	-0.01091	0.00241	-0.00533
IMAGE:112565	ZNFN1A1_	"zinc_finger_protein,_subfamily_1A,_1_(Ikaros)_"	None	None	-0.00274	-0.00069	0.00726	0.00261	-0.00707	-0.00444	0.01834	-0.003	-0.00141	-0.00256	0.0009	-0.01179	-0.01498	0.00076	-0.00771	-0.0061	-0.00139	-0.00796
IMAGE:112576	BCCIP_	BRCA2_and_CDKN1A_interacting_protein_	None	None	-0.00782	-0.00467	-0.00423	-0.00465	0.00131	-0.00474	0.00265	0.00182	0.00745	-0.01405	-0.00565	-0.00459	-0.00451	0.01181	-0.00113	-0.00925	0.00129	-0.00518
IMAGE:1126508	None	"**Homo_sapiens_cDNA_FLJ14025_fis,_clone_HEMBA1003667_"	None	None	0.01568	0.00109	-0.01079	-0.00001	-0.00831	0.00048	0.0005	0.00786	-0.00571	-0.00723	-0.01383	0.00389	-0.00311	0.01439	0.00132	-0.00725	0.00242	-0.00952
IMAGE:1126643	KIAA1912_	**KIAA1912_protein_	None	None	0.02312	0.01996	0.00192	-0.01182	0.00299	-0.00187	0.00797	-0.00794	0.00059	0.02554	-0.0036	-0.00001	0.01072	0.0099	0.00173	-0.005	0.00504	-0.01155
IMAGE:1127072	None	"**EST,_Weakly_similar_to_hypothetical_protein_FLJ20489_[Homo_sapiens]_[H.sapiens]_"	None	None	0.00459	0.00451	-0.00787	0.00336	-0.00041	-0.00738	0.01411	0.01268	0.00314	-0.00268	0.01348	0.02297	0.00721	0.00327	-0.00276	-0.00134	0.02593	-0.0043
IMAGE:1127165	None	ESTs_	None	None	-0.01106	-0.00619	-0.0067	0.00393	-0.01289	0.00565	-0.00025	-0.00025	0.00708	0.00044	0.00717	-0.01588	0.00031	0.00079	-0.00841	-0.01501	-0.01492	-0.00951
IMAGE:1127206	None	None	None	None	-0.00244	0.00125	0.00287	-0.00435	0.00225	-0.00038	-0.00942	0.00025	-0.01222	-0.0092	0.00303	-0.00481	-0.00078	0.00081	0.00094	-0.00425	-0.00576	-0.01018
IMAGE:1127840	SLC25A6_	"**solute_carrier_family_25_(mitochondrial_carrier;_adenine_nucleotide_translocator),_member_6_"	None	None	-0.00799	-0.01393	-0.00229	-0.00327	0.01129	0.01312	-0.00548	0.01498	-0.01238	-0.01473	0.00506	-0.00556	0.01587	0.00434	-0.01466	-0.00633	0.00004	-0.01145
IMAGE:1127893	None	ESTs_	None	None	0.0085	-0.00306	0.00454	-0.00753	-0.00529	0.00289	-0.00576	0.00896	-0.00057	-0.001	0.00464	-0.01045	-0.02457	0.00047	-0.00481	-0.01829	-0.00245	-0.00933
IMAGE:1127970	INPP5E_	"inositol_polyphosphate-5-phosphatase,_72_kD_"	None	None	-0.00264	-0.005	0.00608	0.00511	0.00028	0.00673	0.0167	0.00256	-0.00346	-0.00548	-0.0012	0.0121	0.01028	-0.00702	-0.01713	-0.01084	0.00902	-0.01053
IMAGE:112804	None	"**Homo_sapiens_cDNA_FLJ38682_fis,_clone_KIDNE2000721,_weakly_similar_to_Xenopus_laevis_mRNA_for_RPA_interacting_protein_alpha_"	None	None	-0.01782	-0.00728	0.00432	-0.00059	0.00663	0.00383	-0.00849	0.01661	-0.01411	-0.00899	0.01252	-0.02088	-0.00593	0.01575	-0.00515	-0.01377	0.00472	-0.00677
IMAGE:112819	None	"ESTs,_Weakly_similar_to_T46460_hypothetical_protein_DKFZp434N222.1_-_human_(fragments)_[H.sapiens]_"	None	None	0.01615	-0.00286	-0.01236	-0.00763	0.02442	0.00905	0.00621	-0.00145	-0.00163	0.00076	-0.00361	0.01158	0.00688	0.00306	0.00138	-0.0054	0.00967	-0.00926
IMAGE:112906	PPP1R1None_	"protein_phosphatase_1,_regulatory_subunit_10_"	G2/M	None	-0.01565	-0.01298	-0.00875	0.01326	0.01138	-0.00489	0.0124	0.01622	0.00581	-0.0071	-0.0083	-0.01268	0.00243	-0.00554	-0.02037	0.01117	0.01229	-0.00702
IMAGE:1132377	None	None	None	None	-0.01481	0.0039	-0.00517	-0.00213	0.00628	0.00777	-0.02879	0.00525	0.00213	-0.02137	0.00651	-0.0033	0.01647	0.00865	-0.00296	-0.00937	0.00238	-0.00998
IMAGE:1132534	None	ESTs_	None	None	0.0093	-0.01788	-0.0003	0.00962	-0.01735	0.00296	0.01562	-0.01447	-0.00001	-0.01447	-0.00815	0.00503	0.01314	-0.00334	-0.01962	-0.01334	-0.00925	-0.01331
IMAGE:113284	FLJ21791_	hypothetical_protein_FLJ21791_	None	None	-0.01893	0.03452	0.01912	-0.0172	-0.01317	0.01902	-0.00587	0.01626	0.02051	0.02534	0.00122	0.01022	-0.02439	-0.02274	-0.01661	-0.00639	0.04129	-0.00832
IMAGE:1142323	None	EST_	None	None	0.01211	-0.00802	0.0065	0.01578	-0.00987	0.01297	-0.00525	0.01568	0.0014	-0.0209	-0.00771	-0.00406	0.01544	0.00248	-0.00416	-0.00343	-0.00174	-0.01028
IMAGE:115292	DKFZp586C1924_	hypothetical_protein_DKFZp586C1924_	None	None	-0.00584	0.00205	-0.00103	-0.0006	0.00181	-0.00459	-0.01411	0.00807	-0.01847	-0.00117	-0.00067	-0.00786	0.02255	0.0015	0.00484	-0.00785	-0.00017	-0.00868
IMAGE:115408	BMI1_	B_lymphoma_Mo-MLV_insertion_region_(mouse)_	None	None	0.00104	0.00549	0.00142	0.00805	-0.00818	0.0002	-0.00137	0.00124	0.00498	0.0015	0.00522	-0.00333	0.00534	0.00085	-0.00508	0.00586	0.01918	-0.00785
