YORF	NAME	PROCESS	FUNCTION	MICROARRAY_CLASSIFICATION	TRADITIONAL_CLASSIFICATION	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
YAL030W	SNC1	endocytosis*_	v-SNARE_	None	None	-0.00751	-0.0089	0.00943	0.00162	-0.01777	0.00257	0.00087	-0.00454	-0.00234	-0.00401	-0.00625	-0.04112	0.01474	0.01518	-0.01091	-0.02154	0.01137	-0.01157
YAL033W	POP5	rRNA_processing*_	ribonuclease_MRP*_	None	None	-0.00461	-0.03363	-0.01096	0.0581	0.01431	0.06071	0.01321	-0.00446	-0.01239	-0.00469	0.01312	-0.0282	-0.02833	-0.01583	0.0014	0.00312	0.00046	0.02511
YAL035W	FUN12	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00554	-0.0064	0.03332	-0.0037	-0.00624	-0.01437	0.02552	0.00345	0.0104	-0.02171	0.0203	-0.07001	0.019	0.03997	-0.00391	-0.00221	0.02213	-0.02517
YAL036C	FUN11	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01201	-0.00751	-0.00925	-0.00989	0.00928	-0.00699	-0.00457	-0.00475	-0.01809	-0.00291	0.01542	0.009	-0.01582	0.00684	0.00502	-0.00203	0.00401	0.00097
YAL038W	CDC19	glycolysis*_	pyruvate_kinase_	None	None	-0.01385	-0.01111	0.00484	0.00222	0.00035	-0.0089	-0.00862	-0.0264	-0.00549	-0.00897	0.01105	0.0009	-0.00573	0.03828	-0.00863	0.00504	0.00277	-0.01258
YAL040C	CLN3	G1/S_transition_of_mitotic_cell_cycle*_	G1/S-specific_cyclin_	G2/M	M/G1	-0.02743	-0.00736	-0.02298	0.02916	0.03365	-0.03474	0.00044	-0.00021	-0.00922	0.03507	0.00301	0.02062	0.01951	0.03222	0.00024	0.01	0.01079	-0.01705
YAL041W	CDC24	establishment_of_cell_polarity_(sensu_Saccharomyces)*_	signal_transducer*_	None	None	-0.00976	-0.00894	0.00241	-0.008	-0.01849	-0.00561	0.00116	-0.00092	0.00752	-0.00478	-0.02288	-0.03157	-0.003	0.00569	-0.01088	0.00786	-0.00512	0.00048
YAL042W	ERV46	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01079	-0.01051	-0.00684	-0.00848	0.00094	-0.00261	-0.00701	-0.0154	-0.00249	-0.00065	0.00091	-0.01056	-0.00125	0.0039	-0.00479	-0.00199	0.00422	-0.00613
YAL044C	GCV3	glycine_metabolism_	molecular_function_unknown_	None	None	-0.00856	-0.01245	-0.01972	-0.00351	-0.00669	0.00808	-0.00344	0.01638	0.00007	-0.00032	-0.01349	-0.01275	0.00121	0.00997	-0.00945	-0.00106	0.00464	0.00155
YAL049C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01508	-0.01228	0.01926	-0.011	-0.01199	0.00786	-0.00902	-0.00903	-0.01399	0.00413	0.00639	-0.04162	0.00781	0.01858	-0.01366	-0.01656	0.01973	0.02194
YAL053W	None	biological_process_unknown_	molecular_function_unknown_	G1	None	-0.0077	-0.00106	0.02154	-0.02432	-0.0073	0.00486	0.02557	-0.02018	0.02538	0.00173	0.02834	-0.04176	0.01953	-0.02433	-0.02444	0.01123	-0.00098	-0.02974
YAL059W	ECM1	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01393	-0.01429	-0.00315	0.01557	-0.02259	-0.02016	-0.00944	-0.01854	-0.01627	-0.0075	-0.01063	-0.02329	0.00376	-0.01132	-0.00115	-0.00239	-0.00122	0.00183
YAL065C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01016	-0.01095	-0.00575	-0.00995	-0.00786	0.01932	-0.00666	0.00277	-0.00831	0.00305	-0.00033	-0.01246	-0.00928	0.01778	-0.01135	-0.00874	-0.00318	0.00351
YAR010C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.0267	-0.02842	0.03605	0.00717	-0.0584	0.01187	0.01626	-0.0592	-0.026	0.03816	-0.04179	0.02463	0.0163	0.02291	0.04344	-0.00733	-0.04327	0.0178
YAR015W	ADE1	biological_process_unknown_	phosphoribosylaminoimidazole-succinocarboxamide_synthase_	None	None	-0.00957	-0.01319	-0.00421	0.00753	0.00941	0.00801	0.0101	-0.01819	-0.0064	0.0163	0.0178	-0.01629	-0.05665	0.02453	-0.02872	-0.01795	0.00499	-0.01809
YAR019C	CDC15	cell_cycle_	protein_kinase_	None	None	-0.011	-0.00406	-0.00135	-0.00992	0.00395	0.01113	-0.00425	0.0082	-0.01402	-0.01055	0.00949	0.00439	-0.05568	0.01706	0.00544	-0.03814	0.02081	0.00485
YAR028W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.0108	-0.00783	-0.02227	-0.01327	-0.00143	0.01324	0.01416	0.01284	0.01013	0.00382	-0.01933	-0.02602	0.0042	-0.00124	-0.01271	-0.0084	0.00208	0.01109
YAR035W	YAT1	biological_process_unknown_	carnitine_O-acetyltransferase_	None	None	-0.01379	-0.01146	-0.00855	-0.01508	-0.00684	0.00726	-0.0152	-0.0228	-0.03423	0.03275	-0.00597	0.00465	0.00072	-0.00171	-0.01611	-0.0055	0.01405	0.00004
YAR044W	OSH1	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01266	-0.01381	0.01	0.0009	-0.00994	0.00157	-0.0029	-0.00934	-0.0129	0.00325	0.00068	-0.02349	0.00148	0.01427	0.00023	0.009	0.00525	0.01297
YBL001C	ECM15	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00991	-0.02004	0.00723	-0.0006	-0.00739	0.01067	0.01066	-0.02313	0.01233	-0.02426	0.00022	0.00396	-0.01203	-0.00008	0.00647	0.00056	-0.00555	0.02304
YBL005W	PDR3	transport_	transcription_factor_	None	None	-0.02985	-0.02345	0.02503	0.01678	-0.03236	-0.01367	-0.02734	-0.0465	0.01024	0.00387	-0.01172	-0.01558	0.01807	0.03557	-0.02314	0.01465	0.01395	0.00215
YBL005W-A	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.03022	-0.0094	0.01857	-0.00971	-0.00877	-0.00574	-0.01548	-0.04549	-0.02678	-0.01019	-0.00557	-0.02762	-0.00398	0.03919	-0.0118	0.01524	0.02168	0.02008
YBL005W-B	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01399	-0.01461	0.00222	0.00576	-0.00661	0.00294	-0.00406	-0.0065	-0.00546	0.00577	0.0006	-0.0169	-0.0069	0.03116	-0.00844	-0.01242	0.00974	0.01199
YBL006C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00446	-0.01252	-0.00542	0.00736	0.00867	0.03495	0.01119	-0.00478	-0.00543	-0.01192	-0.00286	-0.01388	-0.01645	0.0091	0.00964	0.00017	0.00705	0.01004
YBL007C	SLA1	cell_wall_organization_and_biogenesis*_	cytoskeletal_protein_binding_protein_	None	None	-0.01348	-0.01247	0.01236	0.00317	0.00173	-0.00888	-0.01626	-0.0149	-0.00565	0.00546	0.00601	-0.02779	-0.00212	0.01899	-0.02151	0.00062	0.00753	-0.00078
YBL011W	SCT1	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01112	-0.01295	0.00181	-0.00343	-0.01336	-0.00683	-0.0081	-0.01439	-0.00326	0.01831	0.00392	-0.01695	-0.00523	0.00683	-0.01949	-0.00258	-0.00479	-0.00541
YBL012C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01384	-0.01892	0.00688	-0.00316	-0.01737	0.00355	-0.0028	-0.01982	-0.03451	0.03046	-0.00081	-0.01719	0.0113	0.01247	0.00844	-0.01254	-0.00938	0.01348
YBL014C	RRN6	transcription_from_Pol_I_promoter_	RNA_polymerase_I_transcription_factor_	None	None	-0.01322	-0.01324	-0.00504	-0.00787	-0.02551	0.0054	-0.00714	0.00212	-0.04518	0.01466	0.00851	-0.00842	0.00081	0.01959	0.01346	0.00923	-0.00493	0.00988
YBL022C	PIM1	heat_shock_response*_	ATP-dependent_peptidase_	None	None	-0.00656	-0.01027	0.01262	0.01001	-0.00966	-0.01187	-0.01236	-0.04229	-0.02688	0.01862	0.00135	-0.03636	-0.00467	-0.00539	-0.0017	0.00437	-0.01087	-0.04497
YBL028C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01601	-0.01488	-0.00336	-0.00354	-0.02372	-0.00047	0.00219	-0.00464	-0.02865	-0.00112	-0.00796	-0.01554	0.00153	0.03085	0.00505	-0.00085	-0.00767	0.01828
YBL030C	PET9	ATP/ADP_exchange_	ATP/ADP_antiporter_	G2/M	None	-0.01538	-0.01016	-0.00937	-0.0308	0.00689	0.00251	0.00203	-0.02622	-0.00105	0.01479	-0.01973	0.00692	0.0017	0.0072	0.0124	0.00265	0.01738	0.01042
YBL032W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00666	-0.01311	-0.01735	-0.0095	-0.01996	-0.0091	0.01953	-0.02704	0.00211	0.0154	0.00648	-0.02137	-0.00682	0.01218	-0.00181	0.00212	-0.01672	-0.02506
YBL036C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01384	-0.00986	-0.00173	-0.01246	0.00299	-0.00289	-0.00598	-0.00128	-0.01174	0.01844	-0.011	0.00753	0.0076	0.01451	-0.00184	-0.0054	-0.00288	-0.00227
YBL039C	URA7	biological_process_unknown_	CTP_synthase_	None	None	-0.0098	-0.00977	0.00902	0.01835	-0.00363	-0.0246	-0.00463	-0.03356	-0.01979	-0.0088	0.01298	-0.00567	-0.01004	0.00056	0.00433	-0.00955	-0.01692	-0.03225
YBL040C	ERD2	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00588	-0.0062	0.00114	-0.00626	0.00507	0.01036	0.0029	-0.01422	-0.00851	-0.01451	0.00217	-0.01309	0.0032	0.00892	0.0028	0.0025	-0.00475	-0.01376
YBL041W	PRE7	ubiquitin-dependent_protein_degradation_	multicatalytic_endopeptidase_	None	None	-0.01316	-0.01268	-0.001	0.01445	0.01188	-0.01437	-0.01371	-0.02332	-0.00134	-0.0054	-0.00452	-0.00975	0.00322	0.00266	0.00727	0.0009	-0.00354	-0.0033
YBL045C	COR1	biological_process_unknown_	ubiquinol-cytochrome-c_reductase_	None	None	-0.00766	-0.00833	0.00355	0.00238	0.00594	0.00489	-0.01322	-0.0114	-0.00155	0.00444	0.00787	-0.00313	0.0012	0.01676	0.009	-0.00231	-0.01709	-0.01412
YBL050W	SEC17	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00867	-0.00838	0.00818	0.0014	0.01524	0.00047	0.00169	-0.01007	-0.01166	-0.00886	-0.00407	-0.02468	0.00959	0.02654	0.00666	-0.00275	-0.0044	-0.01292
YBL051C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01508	-0.01009	0.0014	-0.00738	0.01119	-0.00945	-0.00264	-0.01642	-0.00847	0.00075	0.00899	-0.01551	-0.00205	0.01401	-0.00511	0.00358	0.00627	0.00659
YBL053W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01215	-0.01306	-0.00918	-0.00442	-0.0155	0.00516	0.00004	-0.00675	-0.02016	0.00572	0.01128	-0.00112	-0.00758	0.01755	-0.00487	0.01151	-0.00257	0.00581
YBL058W	SHP1	sporulation_(sensu_Saccharomyces)*_	molecular_function_unknown_	None	None	-0.01363	-0.01102	0.00033	-0.00724	0.00858	0.00164	0.02081	0.01154	0.00872	0.01057	-0.00523	0.00089	0.01044	0.01037	0.00921	0.01267	-0.00128	0.0135
YBL062W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01415	-0.00681	0.00393	-0.02112	-0.00108	0.00182	0.00589	0.00896	-0.00882	0.00718	-0.00187	0.00485	0.00354	-0.003	0.00802	-0.00189	-0.0154	0.01182
YBL066C	SEF1	transcription_	molecular_function_unknown_	None	None	-0.00759	-0.00422	0.00683	0.00112	-0.03004	0.00428	0.00669	0.00305	0.02032	0.00696	0.02444	-0.0032	-0.01122	-0.00776	-0.01598	-0.00367	-0.01364	-0.03302
YBL072C	RPS8A	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	-0.00462	-0.00542	0.0212	0.00117	-0.00133	-0.01082	0.01986	-0.03481	-0.00404	-0.01068	0.00303	-0.02283	-0.0011	0.02828	0.00324	-0.00046	-0.03158	-0.04868
YBL075C	SSA3	stress_response*_	heat_shock_protein_	None	None	-0.01138	-0.00828	0.00492	-0.0066	-0.0065	-0.0099	-0.01063	-0.01461	0.00993	0.00212	0.00283	-0.00062	-0.01772	0.00571	-0.00287	0.00291	0.02166	0.00218
YBL076C	ILS1	biological_process_unknown_	isoleucine--tRNA_ligase_	None	None	-0.01261	-0.00872	0.00747	-0.01847	-0.01459	-0.00037	0.02339	0.00958	0.02405	-0.00514	0.00208	-0.02522	0.00217	0.01435	-0.0202	0.01836	-0.00666	0.00986
YBL077W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01446	-0.00925	-0.00699	-0.0077	-0.00773	0.00338	-0.00819	-0.00978	-0.01745	0.01285	0.01348	0.00494	0.00806	0.02451	-0.02099	0.0085	0.0059	-0.01314
YBL079W	NUP170	mRNA-nucleus_export*_	structural_protein_	None	None	-0.00737	-0.00758	-0.00206	-0.0091	-0.00681	0.00125	0.00468	-0.00647	-0.01038	0.00505	0.01713	-0.01086	-0.01879	0.00783	-0.0121	0.01484	0.00076	-0.01401
YBL091C	MAP2	biological_process_unknown_	methionyl_aminopeptidase_	None	None	-0.01495	-0.01564	-0.00239	0.01626	0.00273	-0.01508	-0.01458	-0.03361	-0.00136	-0.00194	0.00376	-0.01544	-0.00651	-0.00057	-0.01516	0.00156	-0.00734	-0.00445
YBL092W	RPL32	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	-0.00383	-0.00138	0.013	-0.01026	0.01583	-0.00887	0.02254	-0.02277	-0.00674	-0.0092	-0.00547	-0.01437	-0.00085	0.01446	-0.00092	-0.00742	-0.00897	-0.04081
YBL101W-A	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01673	-0.00954	0.02911	-0.00369	-0.01594	0.01384	0.04653	-0.02348	-0.04797	0.05361	0.03324	-0.01686	0.04705	-0.02478	-0.01817	-0.02467	0.0741	-0.02006
YBL101W-B	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.02597	-0.01367	0.01309	0.00046	-0.0035	-0.00725	0.00439	-0.04188	0.00987	0.0156	-0.0059	-0.01609	-0.00076	0.04238	0.00509	-0.00976	0.02749	0.00932
YBL102W	SFT2	Golgi_to_endosome_transport_	molecular_function_unknown_	None	None	-0.01043	-0.01009	-0.01574	-0.02028	-0.00495	0.00315	0.00799	-0.00005	0.00258	0.0195	-0.00996	0.00227	0.01214	-0.01514	-0.00841	-0.00563	0.01205	0.00142
YBL105C	PKC1	protein_phosphorylation*_	protein_kinase_C_	None	None	-0.01145	-0.01144	0.00055	0.00751	0.00625	-0.00434	0.00395	-0.0245	-0.01466	0.00443	0.00481	-0.0231	-0.01004	0.01983	-0.01002	-0.00498	0.00965	-0.00344
YBL111C	None	biological_process_unknown_	molecular_function_unknown_	G1	None	-0.01834	-0.01754	0.03512	0.00821	0.02513	-0.02138	-0.05532	-0.01707	-0.00012	0.00265	-0.0146	-0.03333	0.00447	0.01661	-0.03223	0.01364	-0.01109	-0.00426
YBL113C	None	biological_process_unknown_	molecular_function_unknown_	G1	None	-0.02025	-0.02061	0.0414	0.01682	0.02315	-0.0273	-0.05169	-0.0323	0.01166	-0.00955	-0.02503	-0.02446	-0.01375	0.00654	-0.03594	0.02338	-0.03119	-0.00274
YBR010W	HHT1	biological_process_unknown_	molecular_function_unknown_	S	S	-0.01379	-0.02004	0.02195	-0.06645	-0.02143	0.03519	0.04599	-0.06208	-0.01149	-0.02199	0.04244	0.03991	0.0178	-0.00105	-0.00029	-0.03262	0.01428	0.05765
YBR011C	IPP1	biological_process_unknown_	inorganic_diphosphatase_	None	None	-0.01197	-0.00925	0.00643	-0.01772	-0.01068	-0.00996	0.02219	-0.00155	0.01166	0.02426	-0.00502	0.00383	0.01365	-0.01026	-0.00222	0.00222	0.00077	-0.00095
YBR012C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01999	-0.01696	-0.00899	-0.0028	0.00296	-0.00721	-0.00696	-0.00196	-0.00293	0.01891	-0.02742	-0.01515	0.009	0.01617	-0.00528	-0.0078	0.01008	0.00413
YBR012W-A	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.02785	-0.02116	0.04606	-0.02405	-0.05867	-0.00431	0.05049	0.00845	0.00627	0.02859	-0.03078	0.00222	0.05027	0.00698	0.00383	0.03244	0.0363	0.03463
YBR012W-B	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.02303	-0.01688	0.0185	0.0023	-0.00143	-0.0092	0.00424	-0.04034	-0.00412	-0.00098	-0.02808	-0.00449	0.01278	0.02275	0.01215	-0.02054	0.01297	0.00977
YBR016W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01629	-0.00063	0.00113	-0.01136	0.00342	0.00191	0.00456	-0.01688	-0.01942	0.00798	0.01194	0.00399	-0.00248	0.01068	0.00137	-0.00451	-0.01404	-0.00153
YBR027C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00777	-0.01242	0.00402	0.01136	-0.00949	-0.00281	-0.00059	-0.01094	-0.02245	0.00809	-0.00935	-0.0081	0.03212	-0.00265	0.00617	-0.03578	-0.01468	-0.00937
YBR029C	CDS1	phosphatidylglycerol_biosynthesis*_	phosphatidate_cytidylyltransferase_	None	None	-0.01032	-0.01166	-0.00201	0.004	-0.0001	-0.01116	-0.0059	-0.02344	-0.01913	-0.00587	-0.01751	-0.00381	-0.00209	-0.00754	0.03646	-0.00019	-0.01583	-0.00319
YBR034C	HMT1	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01268	-0.00583	-0.00457	-0.00359	0.00244	-0.01436	-0.00306	-0.01454	-0.03446	-0.00638	0.00045	0.00583	0.00108	-0.00517	0.0015	0.00816	0.00159	-0.00245
YBR036C	CSG2	sphingolipid_metabolism_	molecular_function_unknown_	None	None	-0.01237	-0.011	-0.00511	-0.01032	0.00165	0.00643	-0.00795	-0.01297	-0.01652	0.01362	0.00568	-0.01083	-0.00051	0.01049	0.00019	0.00401	0.00992	0.00529
YBR039W	ATP3	ATP_synthesis_coupled_proton_transport_	hydrogen-transporting_two-sector_ATPase_	None	None	-0.00451	-0.00653	0.00589	-0.00385	-0.00166	-0.01104	0.00397	-0.01769	0.01372	0.00983	0.00324	-0.0058	0.00323	-0.00394	-0.00535	-0.01195	-0.02307	-0.03132
YBR041W	FAT1	very_long_chain_fatty_acid_metabolism*_	long-chain-fatty-acid-CoA-ligase*_	None	None	-0.0125	-0.00982	0.0131	-0.02145	-0.00534	0.0137	-0.01543	-0.01717	-0.01578	0.01422	0.01275	0.00416	0.01085	0.0098	-0.00363	-0.01089	0.00087	0.0031
YBR043C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00858	-0.0178	-0.00134	0.0172	-0.01984	0.00426	-0.00854	-0.01534	-0.01177	0.00304	0.01214	-0.02567	-0.01387	-0.00527	0.01161	0.004	-0.01703	-0.01305
YBR049C	REB1	transcription_regulation_from_Pol_II_promoter*_	Pol_I_transcription_termination_factor_	None	None	-0.00394	-0.01257	0.01218	0.01007	-0.02842	-0.00662	-0.00073	-0.03168	-0.00902	0.00587	0.01686	-0.01835	-0.00781	-0.00351	0.01632	0.0057	-0.02626	-0.03098
YBR069C	TAT1	transport_	amino_acid_permease_	G2/M	None	-0.00869	-0.00984	0.01348	0.01221	0.00211	-0.01843	-0.00804	-0.0038	-0.01877	-0.0086	0.03003	-0.03638	0.00842	0.0118	0.01292	0.00529	0.00792	-0.02546
YBR073W	RDH54	meiosis_	helicase_	G1	None	0.00883	-0.02116	0.01199	0.04528	0.04247	0.09127	0.02595	0.00519	0.01231	-0.02693	0.0426	-0.05437	-0.02827	-0.00532	0.00893	-0.02488	0.02002	-0.0008
YBR075W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.0078	-0.00663	0.01145	0.01018	-0.01239	-0.01187	-0.00858	-0.01716	-0.00804	-0.00927	0.01372	-0.02166	0.00915	0.00459	0.00127	-0.00585	-0.01183	-0.02929
YBR077C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00553	-0.01084	0.0086	0.00229	-0.01381	0.00701	0.00051	-0.00248	-0.00273	0.01467	0.0327	-0.01775	0.00841	-0.00403	0.01874	-0.01962	-0.01237	-0.01792
YBR080C	SEC18	ER_to_Golgi_transport*_	adenosinetriphosphatase*_	None	None	-0.0121	-0.0086	0.00832	-0.00951	0.00023	-0.00669	-0.00703	-0.00851	-0.00908	0.0066	-0.00045	-0.00241	-0.00757	0.00863	-0.00114	-0.00513	0.00157	0.00027
YBR082C	UBC4	stress_response*_	ubiquitin_conjugating_enzyme_	None	None	-0.01285	-0.00969	-0.00982	-0.00758	0.00634	-0.01106	-0.00327	-0.01608	0.00152	0.00503	-0.00726	0.00078	-0.00663	0.01072	-0.00354	-0.00415	0.01696	-0.0021
YBR084W	MIS1	amino_acid_metabolism*_	formate--tetrahydrofolate_ligase*_	None	None	-0.01178	-0.01018	0.00337	-0.01201	-0.00243	-0.00465	0.01233	-0.01331	-0.00414	0.00651	0.01295	-0.01586	-0.00724	0.02369	-0.0098	-0.00649	-0.00364	-0.00379
YBR085W	AAC3	ATP/ADP_exchange_	ATP/ADP_antiporter_	None	None	-0.01666	-0.01379	-0.00098	-0.00833	0.00886	-0.00703	-0.00314	-0.02955	-0.00452	0.004	-0.00478	0.00294	-0.01265	0.00279	-0.00018	0.00052	0.01632	0.01726
YBR086C	IST2	biological_process_unknown_	molecular_function_unknown_	G2/M	None	-0.01013	-0.01103	-0.01179	-0.00575	-0.01113	-0.00804	0.01054	-0.01949	0.00823	0.00499	-0.00809	-0.02216	0.00286	0.02082	-0.01368	0.00883	0.00551	-0.00944
YBR087W	RFC5	leading_strand_elongation*_	adenosinetriphosphatase*_	G1	None	-0.01393	-0.01287	0.00021	-0.01173	0.00319	0.0001	-0.01039	-0.00416	-0.0081	0.00177	-0.01956	0.00187	0.00802	0.00133	0.0014	0.00862	-0.00166	0.01326
YBR088C	POL30	nucleotide-excision_repair*_	proliferating_cell_nuclear_antigen_	G1	G1	-0.00896	-0.0011	0.04697	-0.0569	0.03144	0.0149	-0.05357	0.01902	-0.01323	-0.02819	-0.03433	-0.01358	0.01745	-0.03197	-0.03674	0.00203	0.00152	0.01511
YBR090C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00112	-0.00572	0.00365	0.00153	-0.0127	-0.00565	0.00032	-0.03119	-0.01169	0.00567	-0.00293	-0.00109	-0.00443	0.00781	0.01326	-0.00049	-0.04391	-0.06259
YBR093C	PHO5	phosphate_metabolism_	acid_phosphatase_	G2/M	None	-0.02612	-0.03494	0.00371	0.06005	0.05664	-0.09994	-0.01079	0.03185	-0.02621	0.00929	-0.0676	0.02408	-0.04689	0.02037	-0.00141	-0.06454	0.09604	0.02943
YBR094W	None	biological_process_unknown_	molecular_function_unknown_	G2/M	None	-0.00876	-0.01533	0.00012	0.02404	-0.00327	-0.01639	-0.00736	-0.0229	-0.01581	0.00241	-0.0253	-0.0067	-0.00345	0.00476	0.00936	-0.00834	-0.01719	-0.01635
YBR109C	CMD1	cytoskeleton_organization_and_biogenesis*_	calcium_binding_	None	None	-0.01257	-0.00811	-0.00692	-0.02211	-0.00277	0.00109	0.00928	-0.00324	0.00289	0.01012	-0.0121	-0.00556	0.00252	0.01755	-0.02135	0.00526	0.00693	-0.00324
