						y744n40	y744n98	y744n41	y744n101	y744n88	y744n102	y744n89	y744n32	y744n90	y744n51	y744n96	y744n73	y744n97	y744n52	y744n100	y744n94	y744n103	y744n72
YAL012W	CYS3	biological_process_unknown_	cystathionine-gamma-lyase_	None	None	1.038	0.648	0.53	0.713	0.785	0.804	1.191	1.237	0.852	1.592	0.678	1.214	0.816	1.163	0.892	1.068	1.116	0.946
YAL013W	DEP1	phospholipid_metabolism_	molecular_function_unknown_	None	None	0.692	0.531	0.559	0.538	Null	0.715	0.782	0.792	0.705	1.126	0.904	1.342	0.647	1.239	1.045	1.075	0.817	Null
YAL016W	TPD3	protein_biosynthesis*_	protein_phosphatase_type_2A_	None	None	0.775	0.514	0.613	0.569	0.643	0.538	0.711	0.584	0.621	0.842	0.581	0.941	0.683	1.158	0.836	0.652	1.045	0.693
YAL019W	FUN30	biological_process_unknown_	molecular_function_unknown_	None	None	0.718	0.278	0.538	0.868	0.782	0.996	0.685	0.847	0.635	1.093	0.782	1.286	0.773	1.595	0.81	0.713	1.141	0.776
YAL020C	ATS1	microtubule-based_process_	molecular_function_unknown_	None	None	0.977	0.401	0.63	0.687	0.664	0.578	0.752	Null	0.65	0.847	0.505	1	0.819	1.316	0.955	0.642	0.995	0.816
YAL021C	CCR4	biological_process_unknown_	molecular_function_unknown_	None	None	0.617	0.379	0.522	0.704	0.735	0.913	0.65	0.787	0.487	0.816	0.611	1.046	0.654	1.303	0.849	0.747	1.083	0.633
YAL022C	FUN26	biological_process_unknown_	molecular_function_unknown_	G2/M	None	0.603	0.425	0.77	0.659	0.62	0.48	0.734	0.753	0.809	1.151	0.721	1.08	0.774	1.01	0.696	0.603	1.111	1.144
YAL023C	PMT2	O-linked_glycosylation_	dolichyl-phosphate-mannose--protein_mannosyltransferase_	None	None	0.535	0.282	0.543	0.821	1.143	1.097	0.896	0.754	0.538	0.765	0.613	1.043	0.8	1.537	1.116	0.752	1.054	0.611
YAL025C	MAK16	biological_process_unknown_	molecular_function_unknown_	None	None	0.854	0.194	0.474	0.538	0.762	0.88	0.768	0.939	0.734	0.862	0.707	0.833	0.741	1.212	0.694	0.676	1.179	0.803
YAL026C	DRS2	post_Golgi_transport_	adenosinetriphosphatase*_	None	None	0.939	0.684	0.521	0.582	0.803	0.558	0.931	0.84	0.607	1.391	0.622	1.26	0.788	1.31	0.792	1.06	0.838	0.826
YAL027W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.857	0.527	0.628	0.552	Null	0.699	0.78	0.742	0.69	0.753	0.829	1.185	0.711	Null	0.704	0.929	0.821	Null
YAL028W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.811	0.564	0.774	1.056	1.12	1.392	0.894	0.985	0.627	0.637	0.862	1.332	0.736	1.602	1.078	1.24	0.927	0.804
YAL029C	MYO4	"mRNA_localization,_intracellular_"	microfilament_motor_	None	None	0.983	0.585	0.634	0.65	0.755	0.682	0.786	0.876	0.722	1.525	0.486	1.274	0.762	1.55	0.714	1.133	1.187	Null
YAL030W	SNC1	endocytosis*_	v-SNARE_	None	None	0.864	0.615	0.707	0.811	0.859	0.969	0.751	1.059	0.706	0.911	0.702	1.329	0.741	1.374	1.06	0.969	1.074	0.915
YAL031C	FUN21	biological_process_unknown_	molecular_function_unknown_	None	None	0.756	1.062	0.431	0.549	0.627	0.57	0.729	0.818	0.544	1.373	0.517	1.075	0.694	1.179	0.64	1.023	1.066	Null
YAL033W	POP5	rRNA_processing*_	ribonuclease_MRP*_	None	None	0.677	2.012	0.406	0.585	0.521	0.696	0.71	0.85	0.573	1.137	0.477	1.028	0.742	1.27	0.585	0.686	1.138	0.806
YAL034C	FUN19	biological_process_unknown_	molecular_function_unknown_	None	None	0.62	0.808	Null	Null	0.641	0.619	0.704	0.608	0.761	Null	0.66	1.319	0.71	0.84	0.753	0.552	0.701	0.76
YAL035W	FUN12	biological_process_unknown_	molecular_function_unknown_	None	None	0.799	0.416	0.502	0.691	0.763	1.1	0.771	1.076	0.848	1.085	1.202	1.759	0.791	1.687	1.549	1.323	0.993	1.189
YAL036C	FUN11	biological_process_unknown_	molecular_function_unknown_	None	None	0.675	0.255	0.339	0.363	0.533	0.467	0.759	0.546	0.656	0.834	0.55	0.779	0.703	1.165	0.729	0.505	0.885	0.668
YAL038W	CDC19	glycolysis*_	pyruvate_kinase_	None	None	0.822	0.45	0.561	0.683	0.718	0.638	0.809	0.74	0.742	1.212	0.65	1.048	0.745	1.472	1.029	0.883	1.034	1.094
YAL039C	CYC3	biological_process_unknown_	holocytochrome_c_synthase_	None	None	1.062	0.684	0.717	0.571	Null	0.897	0.591	0.677	0.619	0.994	0.791	0.88	0.679	Null	0.93	0.67	1.07	Null
YAL040C	CLN3	G1/S_transition_of_mitotic_cell_cycle*_	G1/S-specific_cyclin_	G2/M	M/G1	2.296	0.923	1.121	0.458	0.588	0.605	0.959	0.921	1.144	2.048	1.223	1.137	0.721	1.09	0.872	0.718	1.343	1.295
YAL041W	CDC24	establishment_of_cell_polarity_(sensu_Saccharomyces)*_	signal_transducer*_	None	None	0.69	0.38	0.559	0.897	0.722	0.858	0.708	0.866	0.575	0.891	0.639	1.032	0.634	1.101	0.924	0.761	1.073	0.627
YAL042W	ERV46	biological_process_unknown_	molecular_function_unknown_	None	None	0.675	0.453	0.604	0.687	0.851	0.726	0.892	0.759	0.663	0.981	0.613	1.036	0.786	1.251	0.924	0.729	1.092	0.784
YAL044C	GCV3	glycine_metabolism_	molecular_function_unknown_	None	None	0.484	0.526	0.543	0.64	0.62	0.669	0.679	0.782	0.611	0.829	0.575	0.837	0.654	0.893	0.818	0.532	1.238	0.698
YAL045C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.687	0.432	0.741	0.702	0.726	0.996	0.711	0.791	0.588	0.785	Null	0.758	0.662	Null	0.843	0.572	0.386	Null
YAL046C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.916	0.601	0.618	0.649	0.839	0.655	0.794	0.638	Null	0.932	0.587	0.801	0.81	1.002	1.091	0.64	0.866	0.714
YAL049C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.931	0.573	0.805	0.947	0.944	0.991	0.772	0.9	0.606	0.97	0.65	1.543	0.783	1.728	1.022	0.776	1.01	0.824
YAL053W	None	biological_process_unknown_	molecular_function_unknown_	G1	None	1.39	0.776	0.97	1.11	1.357	1.423	1.027	0.788	0.627	0.86	1.016	1.567	1.009	1.713	1.457	1.271	1.152	0.779
YAL058W	CNE1	biological_process_unknown_	molecular_function_unknown_	None	None	0.941	0.524	0.811	0.762	Null	0.977	0.787	0.581	0.849	1.022	Null	1.473	0.841	1.527	1.256	1.082	0.934	Null
YAL059W	ECM1	biological_process_unknown_	molecular_function_unknown_	None	None	0.882	0.354	0.291	0.571	0.675	0.85	0.846	1.03	0.677	1.174	0.539	1.108	0.727	1.287	0.686	0.842	1.1	0.879
YAL060W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.57	0.756	0.885	0.834	0.892	0.62	0.905	0.59	0.653	1.145	0.706	1.411	0.674	1.183	0.813	0.926	1.144	Null
YAL062W	GDH3	biological_process_unknown_	glutamate_dehydrogenase_(NADP+)_	None	None	1.014	0.691	0.72	0.81	0.778	0.735	0.921	0.838	0.584	1.179	0.694	1.386	0.904	1.314	0.934	1.222	1.274	Null
YAL063C	FLO9	flocculation_	molecular_function_unknown_	None	None	0.776	0.477	0.581	0.567	0.678	0.595	0.681	Null	0.547	Null	0.511	Null	0.737	1.094	0.861	0.647	0.894	0.705
YAL065C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.719	0.665	0.718	0.816	0.715	0.728	0.725	0.747	0.593	0.77	0.514	0.981	0.746	1.317	0.93	0.652	1.174	0.716
YAR002W	NUP60	biological_process_unknown_	molecular_function_unknown_	None	None	0.841	0.32	0.486	0.63	0.675	0.522	0.649	0.621	0.777	0.765	0.667	0.831	0.596	0.933	0.906	0.572	1.028	Null
YAR003W	None	biological_process_unknown_	molecular_function_unknown_	G1	None	0.675	0.44	1.089	1.017	Null	0.687	0.621	0.717	0.416	0.745	0.783	1.227	0.902	1.296	0.937	0.604	1.054	Null
YAR007C	RFA1	nucleotide-excision_repair*_	RNA_binding*_	G1	G1	0.563	0.354	1.074	1.307	1.129	0.672	0.452	0.343	Null	0.75	0.917	1.68	0.919	1.284	0.732	0.468	0.832	0.475
YAR010C	None	biological_process_unknown_	molecular_function_unknown_	None	None	2.164	1.455	1.682	1.89	1.796	2.127	1.606	2.205	1.211	2.219	1.08	1.455	1.365	3.349	1.751	1.711	1.856	1.478
YAR015W	ADE1	biological_process_unknown_	phosphoribosylaminoimidazole-succinocarboxamide_synthase_	None	None	0.942	0.951	0.701	0.671	0.649	0.57	0.86	0.774	1.013	1.193	0.702	1.141	0.692	1.562	1.057	1.025	1.255	0.867
YAR018C	KIN3	biological_process_unknown_	protein_kinase_	G2/M	G2/M	0.488	Null	0.501	0.381	0.352	0.388	0.552	0.623	1.102	1.201	0.911	0.75	0.749	0.991	0.783	0.965	0.96	1.141
YAR019C	CDC15	cell_cycle_	protein_kinase_	None	None	1.15	0.781	0.725	0.869	0.767	0.804	1.003	0.918	1.114	0.88	0.651	1.046	0.853	1.497	1.034	0.664	0.951	0.715
YAR027W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.151	0.81	0.73	0.776	0.739	0.714	0.846	0.868	0.609	1.338	0.782	1.112	0.73	1.218	Null	0.723	0.618	0.815
YAR028W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.998	0.686	0.69	0.7	0.78	0.778	0.759	0.808	0.6	0.777	0.625	0.888	0.691	0.912	1.003	0.546	1.278	0.479
YAR031W	PRM9	mating_(sensu_Saccharomyces)_	molecular_function_unknown_	None	None	2.745	0.856	0.549	0.556	0.65	0.662	0.85	0.746	0.654	1.478	0.673	0.959	0.723	1.078	Null	0.785	1.085	0.74
YAR033W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.93	0.904	0.603	0.868	0.749	0.93	0.888	0.979	0.716	1.06	0.59	1.025	0.824	1.23	0.968	0.869	1.244	Null
YAR035W	YAT1	biological_process_unknown_	carnitine_O-acetyltransferase_	None	None	0.923	0.569	0.973	0.858	1.14	0.731	0.885	0.826	0.667	0.946	0.57	1.045	0.741	1.529	0.707	0.637	1.208	0.766
YAR042W	SWH1	biological_process_unknown_	molecular_function_unknown_	None	None	0.792	0.489	0.682	0.607	0.783	0.736	0.733	0.93	0.604	1.131	0.669	1.149	0.641	1.309	0.791	0.747	0.88	Null
YAR044W	OSH1	biological_process_unknown_	molecular_function_unknown_	None	None	0.74	0.526	0.549	0.728	0.685	0.795	0.704	0.801	0.543	0.997	0.62	1.105	0.628	1.397	0.806	0.687	0.939	0.779
YAR047C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.841	0.719	0.777	0.762	0.805	0.715	0.604	Null	0.618	0.9	0.714	1.025	0.635	1.34	0.807	0.664	1.129	0.692
YAR060C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.669	Null	0.691	0.895	0.718	0.764	0.645	0.805	0.539	Null	0.556	1.345	0.717	1.35	0.692	0.668	1.03	Null
YAR061W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.895	0.798	0.709	0.793	0.814	0.639	0.86	0.723	0.511	0.83	Null	0.877	0.801	Null	0.767	0.688	0.884	Null
YAR062W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.663	0.536	0.583	0.759	0.575	0.65	0.688	0.672	0.538	1.033	0.517	1.081	0.781	1.328	Null	0.855	1.044	0.764
YAR071W	PHO11	biological_process_unknown_	acid_phosphatase_	G2/M	None	0.514	0.564	0.83	0.853	0.73	0.752	1.152	Null	2.518	4.45	2.106	2.96	1.249	1.671	0.716	0.776	1.34	1.53
YAR073W	IMD1	biological_process_unknown_	IMP_dehydrogenase_	None	None	0.682	0.39	0.307	0.407	0.414	0.438	0.535	0.74	0.535	Null	0.57	0.865	0.607	Null	0.733	1.134	0.952	0.804
YBL001C	ECM15	biological_process_unknown_	molecular_function_unknown_	None	None	0.31	0.608	0.263	0.739	0.824	0.902	0.806	0.76	0.556	0.997	0.446	0.801	0.84	1.436	1.013	0.727	0.924	0.649
YBL002W	HTB2	biological_process_unknown_	molecular_function_unknown_	S	S	0.157	0.122	0.159	0.499	1.373	1.053	1.084	Null	0.405	0.423	0.243	0.75	1.098	2.831	1.645	1.299	0.886	0.585
YBL003C	HTA2	biological_process_unknown_	molecular_function_unknown_	S	S	0.178	0.094	Null	0.396	1.126	1.344	1.013	0.74	0.368	Null	0.226	0.577	0.977	2.417	1.496	1.241	0.753	0.53
YBL004W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.342	0.247	Null	0.454	0.827	Null	0.89	Null	0.524	0.786	0.433	0.985	0.918	1.862	1.141	0.965	0.756	0.733
YBL005W	PDR3	transport_	transcription_factor_	None	None	1.966	1.206	1.565	1.958	1.738	1.873	1.506	1.664	1.225	2.414	1.151	2.15	1.258	2.573	1.629	1.544	1.838	1.839
YBL005W-A	None	biological_process_unknown_	molecular_function_unknown_	None	None	2.351	0.915	1.226	1.564	1.541	1.309	1.403	1.346	1.071	1.782	1.051	1.975	1.136	2.515	1.536	1.181	1.465	1.437
YBL005W-B	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.799	0.628	0.636	0.681	0.614	0.721	0.698	0.836	0.7	1.117	0.564	1.061	0.617	1.344	0.893	0.693	1.05	0.849
YBL006C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.714	1.083	0.519	0.667	0.693	0.608	0.714	0.726	0.555	0.681	0.504	0.746	0.629	1.072	0.825	0.538	0.836	0.597
YBL007C	SLA1	cell_wall_organization_and_biogenesis*_	cytoskeletal_protein_binding_protein_	None	None	0.688	0.452	0.652	0.758	0.65	0.633	0.639	0.644	0.579	1.123	0.64	1.333	0.656	1.306	0.775	0.755	0.914	0.85
YBL009W	None	biological_process_unknown_	molecular_function_unknown_	G1	None	0.596	Null	0.465	0.762	0.926	0.757	0.791	0.657	0.452	0.881	0.524	1.136	0.799	1.428	1.018	0.585	0.889	0.587
YBL011W	SCT1	biological_process_unknown_	molecular_function_unknown_	None	None	0.509	0.342	0.589	0.649	0.635	0.699	0.664	0.666	0.545	0.96	0.494	1.001	0.596	1.25	0.739	0.757	1.062	0.696
YBL012C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.639	0.451	0.656	0.559	0.718	0.777	0.754	0.964	0.538	1.039	0.537	1.085	0.705	1.761	0.792	0.786	1.138	0.791
YBL014C	RRN6	transcription_from_Pol_I_promoter_	RNA_polymerase_I_transcription_factor_	None	None	0.704	0.293	0.427	0.477	0.53	0.719	0.748	0.882	0.549	0.787	0.517	0.856	0.628	1.589	0.722	0.623	1.195	0.86
YBL015W	ACH1	acetate_metabolism*_	acetyl-CoA_hydrolase_	None	None	0.561	0.601	0.532	0.551	0.647	0.623	0.798	0.556	0.483	1.056	0.507	0.979	0.762	1.093	0.701	Null	0.611	Null
YBL016W	FUS3	protein_phosphorylation*_	MAP_kinase_	None	None	3.755	0.797	Null	0.297	0.385	0.592	0.446	0.865	0.33	0.62	0.489	0.948	0.672	1.365	0.748	0.727	0.688	0.87
YBL018C	POP8	rRNA_processing*_	ribonuclease_MRP*_	None	None	Null	Null	0.556	0.632	0.671	1.036	0.785	0.892	0.623	0.839	0.571	1.05	0.778	1.393	0.825	0.551	1.14	0.996
YBL020W	RFT1	cell_cycle_	molecular_function_unknown_	None	None	Null	0.489	Null	0.627	0.705	Null	0.828	0.916	0.586	0.831	0.367	1.066	0.832	1.451	0.924	0.92	0.794	0.874
YBL021C	HAP3	transcription_	molecular_function_unknown_	None	None	0.596	0.461	0.504	Null	0.506	0.781	0.526	0.679	0.539	1.076	0.457	0.812	0.695	1.031	Null	Null	0.872	0.834
YBL022C	PIM1	heat_shock_response*_	ATP-dependent_peptidase_	None	None	0.927	0.631	0.785	0.812	0.927	0.804	1.013	1.048	0.758	1.166	0.793	1.428	0.792	1.674	0.837	1.262	1.085	1.061
YBL024W	NCL1	biological_process_unknown_	molecular_function_unknown_	None	None	0.737	Null	0.435	0.574	0.617	0.508	0.659	0.656	0.628	0.836	0.664	0.77	0.617	1.075	0.991	0.529	1.03	Null
YBL026W	LSM2	mRNA_splicing_	molecular_function_unknown_	None	None	0.906	0.702	Null	0.48	0.494	0.592	0.829	0.89	0.723	0.868	0.729	0.904	0.756	1.349	0.938	0.979	0.898	0.908
YBL027W	RPL19B	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	0.763	0.434	0.598	0.568	0.637	0.627	0.667	0.524	0.684	1.25	0.602	0.896	0.728	1.317	0.917	0.802	1.09	Null
YBL028C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.844	0.326	0.373	0.549	0.558	0.742	0.733	1.002	0.627	1.009	0.55	0.946	0.694	1.604	0.963	0.746	1.265	0.893
YBL029W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.73	0.493	0.641	0.405	0.564	0.636	0.539	0.587	0.435	Null	0.439	0.676	0.61	Null	0.64	0.478	0.815	Null
YBL030C	PET9	ATP/ADP_exchange_	ATP/ADP_antiporter_	G2/M	None	1.016	0.601	1.072	1.059	1.412	0.986	1.244	1.004	0.851	1.19	0.822	1.014	0.894	1.555	1.221	0.67	1.234	0.739
YBL032W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.401	0.23	0.311	0.289	0.645	0.717	0.932	0.876	0.672	0.933	0.531	0.69	0.599	1.349	1.11	1.037	1.398	0.796
YBL034C	STU1	microtubule_nucleation_	structural_protein_of_cytoskeleton_	None	None	0.717	Null	0.672	0.752	0.852	0.707	0.894	0.856	0.685	0.954	0.806	1.067	0.863	1.354	1.346	0.76	1.217	0.767
YBL036C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.867	0.479	0.901	0.803	0.822	0.718	0.76	0.803	0.694	1.077	0.762	1.011	0.795	1.328	0.893	0.649	1.113	0.764
YBL038W	MRPL16	protein_biosynthesis_	structural_protein_of_ribosome*_	None	None	0.732	Null	0.595	0.601	0.711	0.839	0.913	0.768	0.612	0.862	0.667	1.105	0.85	1.311	0.88	0.767	1.097	0.69
YBL039C	URA7	biological_process_unknown_	CTP_synthase_	None	None	0.888	0.372	0.286	0.399	0.535	0.617	0.828	0.864	0.782	1.187	0.646	1.088	0.824	1.477	0.792	1.101	0.889	1.015
YBL040C	ERD2	biological_process_unknown_	molecular_function_unknown_	None	None	0.735	0.57	0.498	0.621	0.744	0.597	0.726	0.678	0.518	0.689	0.604	0.924	0.761	1.199	0.929	0.744	0.864	0.738
YBL041W	PRE7	ubiquitin-dependent_protein_degradation_	multicatalytic_endopeptidase_	None	None	0.805	0.535	0.507	0.566	0.614	0.572	0.812	0.731	0.621	1.241	0.604	1.038	0.731	1.054	0.695	0.679	0.833	0.818
YBL045C	COR1	biological_process_unknown_	ubiquinol-cytochrome-c_reductase_	None	None	0.564	0.532	0.619	0.558	0.447	0.494	0.627	0.528	0.443	0.797	0.46	0.784	0.625	1.007	0.681	0.606	0.727	0.684
YBL046W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.647	0.713	0.804	0.793	0.72	0.882	0.761	0.943	0.614	0.858	0.884	1.166	0.756	1.181	1.118	0.978	0.84	Null
YBL047C	EDE1	biological_process_unknown*_	molecular_function_unknown_	None	None	0.667	0.641	0.635	0.813	0.576	0.73	0.611	Null	0.498	1.371	0.582	1.136	0.721	1.396	0.716	1.141	0.93	1.031
YBL050W	SEC17	biological_process_unknown_	molecular_function_unknown_	None	None	0.83	0.586	0.605	0.6	0.624	0.523	0.687	0.792	0.617	0.988	0.808	1.192	0.779	1.29	1	0.824	0.876	0.885
YBL051C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.853	0.373	0.522	0.556	0.687	0.587	0.777	0.626	0.613	1.075	0.675	1.127	0.72	1.324	0.892	0.66	0.942	0.758
YBL053W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.627	0.378	0.356	0.466	0.547	0.628	0.683	0.668	0.532	0.821	0.447	0.715	0.583	1.323	0.764	0.614	1.137	0.775
YBL056W	PTC3	biological_process_unknown_	protein_phosphatase_type_2C_	None	None	0.678	0.432	0.608	0.689	0.712	0.88	0.79	0.712	0.613	1.138	0.677	0.874	0.718	Null	1.108	Null	1.15	Null
YBL057C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.832	0.379	0.508	0.504	0.633	0.487	0.709	0.55	0.633	0.94	0.592	Null	0.678	1.01	0.788	0.524	0.727	Null
YBL058W	SHP1	sporulation_(sensu_Saccharomyces)*_	molecular_function_unknown_	None	None	0.978	0.664	0.729	0.695	0.697	0.851	0.707	0.741	0.635	1.101	0.888	0.87	0.7	1.156	0.997	0.568	1.019	0.622
YBL062W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.999	0.425	0.708	0.766	0.723	0.852	0.735	0.711	0.57	0.842	0.725	0.943	0.861	1.381	0.927	0.583	0.998	0.523
YBL066C	SEF1	transcription_	molecular_function_unknown_	None	None	1.202	0.811	0.831	0.977	0.801	1.298	0.881	0.848	0.794	0.895	0.679	0.978	0.787	1.367	1.053	1.073	1.19	0.841
YBL067C	UBP13	deubiquitylation_	ubiquitin-specific_protease_	None	None	0.78	0.393	0.655	0.615	0.611	0.602	0.627	0.774	0.579	0.776	0.702	0.892	0.631	Null	0.922	0.552	1.068	Null
YBL068W	PRS4	histidine_biosynthesis*_	ribose-phosphate_pyrophosphokinase_	None	None	0.91	0.57	0.532	0.807	0.688	0.778	0.774	0.852	Null	0.868	1.073	0.936	0.788	1.237	1.104	1.052	0.915	Null
YBL071C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.564	Null	0.371	0.399	0.848	0.61	1.007	0.902	0.77	1.115	0.438	0.817	0.977	1.227	Null	0.718	0.926	0.877
YBL072C	RPS8A	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	0.904	0.484	0.516	0.619	0.666	0.676	0.776	0.921	0.726	1.039	0.877	1.143	0.846	1.659	1.3	1.38	0.968	1.028
YBL074C	AAR2	mRNA_splicing_	molecular_function_unknown_	None	None	0.652	0.52	0.606	0.569	Null	0.587	0.663	0.831	0.606	0.851	0.693	1.197	0.59	Null	0.762	0.879	0.871	Null
YBL075C	SSA3	stress_response*_	heat_shock_protein_	None	None	0.66	0.416	0.655	0.857	0.857	0.86	0.869	0.694	0.73	1.004	0.559	0.893	0.571	1.099	0.768	0.586	0.783	0.672
YBL076C	ILS1	biological_process_unknown_	isoleucine--tRNA_ligase_	None	None	0.829	0.407	0.533	0.841	0.695	1.01	0.631	0.67	0.528	0.896	0.767	1.019	0.677	1.27	1.21	0.787	1.164	0.608
YBL077W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.041	0.547	0.807	0.747	0.869	0.755	0.787	0.731	0.679	1.025	0.679	1.034	0.753	1.475	0.949	0.78	1.299	1.039
YBL079W	NUP170	mRNA-nucleus_export*_	structural_protein_	None	None	0.601	0.389	0.417	0.548	0.602	0.624	0.694	0.568	0.586	0.721	0.59	0.837	0.576	1.225	0.807	0.729	1.002	0.697
YBL081W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.733	0.362	0.5	0.486	0.843	0.689	0.765	Null	0.577	0.918	0.482	0.929	0.75	1.624	0.75	0.714	1.096	0.789
YBL082C	RHK1	protein_glycosylation_	molecular_function_unknown_	None	None	0.549	0.288	0.458	0.553	0.789	1.334	1.086	0.84	0.794	Null	0.69	0.799	0.736	Null	1.147	0.721	1.263	Null
YBL083C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.612	0.336	0.526	0.646	0.842	0.908	1.105	0.928	0.781	Null	0.59	Null	0.808	1.483	0.968	0.699	1.381	0.763
YBL089W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.715	0.548	0.577	0.534	0.706	0.806	1.011	0.704	0.487	1.089	0.371	Null	0.782	1.027	Null	0.824	0.683	Null
YBL090W	MRP21	protein_biosynthesis*_	structural_protein_of_ribosome_	None	None	0.835	0.504	0.707	0.623	0.572	0.727	0.808	1.011	0.712	0.798	0.744	1.199	0.701	1.246	0.85	0.891	0.899	Null
YBL091C	MAP2	biological_process_unknown_	methionyl_aminopeptidase_	None	None	0.81	0.528	0.446	0.589	0.64	0.604	0.811	0.693	0.616	1.305	0.51	1.134	0.745	1.232	0.72	0.827	1.029	0.87
YBL092W	RPL32	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	0.933	0.475	0.609	0.62	0.841	0.569	0.751	0.826	0.776	0.896	0.966	1.12	0.852	1.405	1.209	1.113	0.858	0.821
YBL094C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.619	0.414	0.556	0.477	Null	0.629	0.826	0.959	0.639	0.682	Null	1.084	0.656	1.196	0.907	0.913	0.727	Null
YBL101W-A	None	biological_process_unknown_	molecular_function_unknown_	None	None	2.795	1.67	1.815	1.355	2.388	2.149	1.496	1.857	1.497	1.675	1.752	2.31	1.3	3.073	1.682	1.671	1.69	1.591
YBL101W-B	None	biological_process_unknown_	molecular_function_unknown_	None	None	2.143	1.201	1.486	1.438	1.558	1.518	1.536	1.521	1.322	2.059	1.148	1.714	1.025	2.276	1.695	1.256	1.492	1.391
